ward_id,ward_name_vi,minx,miny,maxx,maxy,lat,lon,ward_name_norm,ward_prefix_norm,ward_name_core_norm,district_name_vi,district_name_norm
ID_00364,Phường Bạch Mai,105.8412940000001,20.995168,105.8622710000001,21.009176,21.002172,105.8517825000001,phuong bach mai,phuong,bach mai,Quận Hai Bà Trưng,quan hai ba trung
ID_03125,Phường Ba Đình,105.826623,21.028705,105.8500080000001,21.050636,21.0396705,105.83831550000004,phuong ba dinh,phuong,ba dinh,Quận Ba Đình,quan ba dinh
ID_00245,Phường Bồ Đề,105.841623,21.020853,105.890702,21.081108,21.0509805,105.8661625,phuong bo de,phuong,bo de,Quận Long Biên,quan long bien
ID_01889,Phường Cầu Giấy,105.778612,21.017667,105.8013300000001,21.041801,21.029734,105.78997100000004,phuong cau giay,phuong,cau giay,Quận Cầu Giấy,quan cau giay
ID_01913,Phường Chương Mỹ,105.6621480000001,20.885397,105.736384,20.964828,20.9251125,105.69926600000004,phuong chuong my,phuong,chuong my,Huyện Chương Mỹ,huyen chuong my
ID_02000,Phường Cửa Nam,105.8414190000001,21.017924,105.861954,21.029074,21.023499,105.85168650000006,phuong cua nam,phuong,cua nam,Quận Hoàn Kiếm,quan hoan kiem
ID_01936,Phường Đại Mỗ,105.7526110000001,20.979666,105.798793,21.006491,20.993078500000003,105.77570200000004,phuong dai mo,phuong,dai mo,Quận Nam Từ Liêm,quan nam tu liem
ID_03161,Phường Định Công,105.80659,20.96706,105.841417,20.988586,20.977823,105.8240035,phuong dinh cong,phuong,dinh cong,Quận Hoàng Mai,quan hoang mai
ID_02065,Phường Đống Đa,105.810746,21.001642,105.8342240000001,21.020835,21.0112385,105.82248500000006,phuong dong da,phuong,dong da,Quận Đống Đa,quan dong da
ID_03064,Phường Đông Ngạc,105.755573,21.054214,105.788517,21.098436,21.076325,105.772045,phuong dong ngac,phuong,dong ngac,Quận Bắc Từ Liêm,quan bac tu liem
ID_00878,Phường Dương Nội,105.729947,20.954121,105.764884,20.994876,20.974498500000003,105.7474155,phuong duong noi,phuong,duong noi,Quận Hà Đông,quan ha dong
ID_01584,Phường Giảng Võ,105.8013300000001,21.016503,105.830119,21.037106,21.0268045,105.81572450000004,phuong giang vo,phuong,giang vo,Quận Ba Đình,quan ba dinh
ID_01837,Phường Hà Đông,105.7535680000001,20.959381,105.7991880000001,20.988643,20.974012,105.77637800000012,phuong ha dong,phuong,ha dong,Quận Hà Đông,quan ha dong
ID_00018,Phường Hai Bà Trưng,105.8414190000001,21.007705,105.866036,21.020563,21.014134,105.85372750000003,phuong hai ba trung,phuong,hai ba trung,Quận Hai Bà Trưng,quan hai ba trung
ID_02347,Phường Hoàng Liệt,105.813035,20.951131,105.844139,20.971102,20.9611165,105.828587,phuong hoang liet,phuong,hoang liet,Quận Hoàng Mai,quan hoang mai
ID_01163,Phường Hoàng Mai,105.8409280000001,20.963946,105.8893110000001,20.983656,20.973801,105.8651195000001,phuong hoang mai,phuong,hoang mai,Quận Hoàng Mai,quan hoang mai
ID_02515,Phường Hoàn Kiếm,105.842585,21.024427,105.8599980000001,21.040903,21.032665,105.85129150000006,phuong hoan kiem,phuong,hoan kiem,Quận Hoàn Kiếm,quan hoan kiem
ID_00498,Phường Hồng Hà,105.8166130000001,21.002394,105.8777350000001,21.093604,21.047999,105.84717400000012,phuong hong ha,phuong,hong ha,,
ID_00868,Phường Khương Đình,105.8032570000001,20.97901,105.82499,21.003084,20.991047,105.81412350000004,phuong khuong dinh,phuong,khuong dinh,Quận Thanh Xuân,quan thanh xuan
ID_02969,Phường Kiến Hưng,105.7547030000001,20.942152,105.804287,20.965666,20.953909,105.77949500000004,phuong kien hung,phuong,kien hung,Quận Hà Đông,quan ha dong
ID_01096,Phường Kim Liên,105.820112,20.997821,105.84145,21.014368,21.0060945,105.830781,phuong kim lien,phuong,kim lien,Quận Đống Đa,quan dong da
ID_01760,Phường Láng,105.7975830000001,21.010609,105.814967,21.03023,21.0204195,105.80627500000006,phuong lang,phuong,lang,Quận Đống Đa,quan dong da
ID_01850,Phường Lĩnh Nam,105.871132,20.945232,105.908682,21.006042,20.975637,105.889907,phuong linh nam,phuong,linh nam,Quận Hoàng Mai,quan hoang mai
ID_01372,Phường Long Biên,105.866897,20.993455,105.929189,21.051848,21.0226515,105.898043,phuong long bien,phuong,long bien,Quận Long Biên,quan long bien
ID_00137,Phường Nghĩa Đô,105.781031,21.03023,105.8070210000001,21.056781,21.0435055,105.79402600000006,phuong nghia do,phuong,nghia do,Quận Cầu Giấy,quan cau giay
ID_00152,Phường Ngọc Hà,105.804986,21.030531,105.828009,21.048547,21.039539,105.8164975,phuong ngoc ha,phuong,ngoc ha,Quận Ba Đình,quan ba dinh
ID_03000,Phường Ô Chợ Dừa,105.814967,21.013919,105.836107,21.032124,21.0230215,105.825537,phuong o cho dua,phuong,o cho dua,Quận Đống Đa,quan dong da
ID_02431,Phường Phúc Lợi,105.8946990000001,21.024885,105.938112,21.058076,21.0414805,105.91640550000004,phuong phuc loi,phuong,phuc loi,Quận Long Biên,quan long bien
ID_03313,Phường Phú Diễn,105.745295,21.036596,105.782244,21.060218,21.048407,105.7637695,phuong phu dien,phuong,phu dien,Quận Bắc Từ Liêm,quan bac tu liem
ID_01448,Phường Phú Lương,105.7452690000001,20.92215,105.791798,20.954538,20.938344,105.76853350000005,phuong phu luong,phuong,phu luong,Quận Hà Đông,quan ha dong
ID_00192,Phường Phương Liệt,105.8216510000001,20.983667,105.8412940000001,21.002405,20.993036,105.8314725000001,phuong phuong liet,phuong,phuong liet,Quận Thanh Xuân,quan thanh xuan
ID_00086,Phường Phú Thượng,105.785748,21.070379,105.82105,21.09763,21.0840045,105.803399,phuong phu thuong,phuong,phu thuong,Quận Tây Hồ,quan tay ho
ID_00524,Phường Sơn Tây,105.450545,21.112675,105.524598,21.171732,21.1422035,105.4875715,phuong son tay,phuong,son tay,Thị xã Sơn Tây,thi xa son tay
ID_03103,Phường Tây Hồ,105.804381,21.039598,105.840197,21.084544,21.062071000000003,105.822289,phuong tay ho,phuong,tay ho,Quận Tây Hồ,quan tay ho
ID_00405,Phường Tây Mỗ,105.7305180000001,20.989536,105.762841,21.010662,21.000099,105.74667950000006,phuong tay mo,phuong,tay mo,Quận Nam Từ Liêm,quan nam tu liem
ID_02642,Phường Tây Tựu,105.72402,21.04773,105.7612000000001,21.08245,21.06509,105.74261000000004,phuong tay tuu,phuong,tay tuu,Quận Bắc Từ Liêm,quan bac tu liem
ID_01720,Phường Thanh Liệt,105.7921570000001,20.949528,105.825066,20.991479,20.9705035,105.80861150000004,phuong thanh liet,phuong,thanh liet,Huyện Thanh Trì,huyen thanh tri
ID_00982,Phường Thanh Xuân,105.790243,20.988319,105.818067,21.010609,20.999464,105.804155,phuong thanh xuan,phuong,thanh xuan,Quận Thanh Xuân,quan thanh xuan
ID_01656,Phường Thượng Cát,105.7251370000001,21.065634,105.7723260000001,21.107946,21.08679,105.7487315000001,phuong thuong cat,phuong,thuong cat,Quận Bắc Từ Liêm,quan bac tu liem
ID_03213,Phường Từ Liêm,105.753786,21.00216,105.7923250000001,21.041695,21.0219275,105.77305550000004,phuong tu liem,phuong,tu liem,Quận Nam Từ Liêm,quan nam tu liem
ID_00700,Phường Tùng Thiện,105.4129930000001,21.093224,105.5062750000001,21.15191,21.122567,105.45963400000012,phuong tung thien,phuong,tung thien,Thị xã Sơn Tây,thi xa son tay
ID_00629,Phường Tương Mai,105.841055,20.983563,105.875392,20.997821,20.990692,105.8582235,phuong tuong mai,phuong,tuong mai,Quận Hoàng Mai,quan hoang mai
ID_00393,Phường Văn Miếu - Quốc Tử Giám,105.8298070000001,21.007722,105.841593,21.03043,21.019076,105.83570000000006,phuong van mieu - quoc tu giam,phuong,van mieu - quoc tu giam,Quận Đống Đa,quan dong da
ID_01784,Phường Việt Hưng,105.878068,21.045738,105.932578,21.079797,21.0627675,105.905323,phuong viet hung,phuong,viet hung,Quận Long Biên,quan long bien
ID_02436,Phường Vĩnh Hưng,105.868901,20.97936,105.895051,21.002407,20.9908835,105.881976,phuong vinh hung,phuong,vinh hung,Quận Hoàng Mai,quan hoang mai
ID_01525,Phường Vĩnh Tuy,105.8607460000001,20.986603,105.874078,21.009007,20.997805,105.86741200000006,phuong vinh tuy,phuong,vinh tuy,Quận Hai Bà Trưng,quan hai ba trung
ID_01061,Phường Xuân Đỉnh,105.78235,21.051827,105.808991,21.079199,21.065513,105.7956705,phuong xuan dinh,phuong,xuan dinh,Quận Bắc Từ Liêm,quan bac tu liem
ID_00627,Phường Xuân Phương,105.726508,21.006491,105.763202,21.056465,21.031478,105.744855,phuong xuan phuong,phuong,xuan phuong,Quận Nam Từ Liêm,quan nam tu liem
ID_01639,Phường Yên Hòa,105.7821660000001,21.002257,105.810746,21.026044,21.0141505,105.79645600000003,phuong yen hoa,phuong,yen hoa,Quận Cầu Giấy,quan cau giay
ID_03312,Phường Yên Nghĩa,105.71146,20.912371,105.754154,20.963277,20.937824,105.732807,phuong yen nghia,phuong,yen nghia,Quận Hà Đông,quan ha dong
ID_02862,Phường Yên Sở,105.8420530000001,20.943211,105.876728,20.966299,20.954755,105.85939050000005,phuong yen so,phuong,yen so,Quận Hoàng Mai,quan hoang mai
ID_02548,Xã An Khánh,105.664029,20.955415,105.742853,21.010819,20.983117,105.703441,xa an khanh,xa,an khanh,Huyện Hoài Đức,huyen hoai duc
ID_00945,Xã Bất Bạt,105.285352,21.11066,105.3765750000001,21.207379,21.1590195,105.33096350000004,xa bat bat,xa,bat bat,Huyện Ba Vì,huyen ba vi
ID_03116,Xã Bát Tràng,105.880298,20.926915,105.953114,21.012243,20.969579000000003,105.916706,xa bat trang,xa,bat trang,Huyện Gia Lâm,huyen gia lam
ID_00035,Xã Ba Vì,105.29337,21.007239,105.387474,21.114011,21.060625,105.340422,xa ba vi,xa,ba vi,Huyện Ba Vì,huyen ba vi
ID_01993,Xã Bình Minh,105.722539,20.869825,105.801532,20.939285,20.904555,105.7620355,xa binh minh,xa,binh minh,Huyện Thanh Oai,huyen thanh oai
ID_01780,Xã Chương Dương,105.867778,20.79454,105.936064,20.878117,20.8363285,105.901921,xa chuong duong,xa,chuong duong,Huyện Thường Tín,huyen thuong tin
